CME IDX,FLARE_IDX,Other associations,SEP_IDX,GOES Flare Class,GOES Estimated Flare Class for STIX,Start Time (Observer),Observer,Start time (1 AU),Start time (Sun),Central Position Angle (degrees),Angular Width (degrees),Speed (km/s),Acceleration (m/s2),Mass (g),Kinetic Energy (erg)
CME0000,,,SEP0010,,,2021-07-13 19:00:05,LASCO,2021-07-13 19:00:05,2021-07-13 18:51:45,Halo,360,1101,-54.5*,5.2e+15*,3.1e+31*
CME0001,FLARE0001,,SEP0011,,M5,2021-07-15 21:36:05,LASCO,2021-07-15 21:36:05,2021-07-15 21:27:45,Halo,360,1476,-60.3,1.3e+16*,1.4e+32*
CME0002,,,SEP0012,,,2021-07-17 05:24:05,LASCO,2021-07-17 05:24:05,2021-07-17 05:15:45,Halo,360,1228,-43.6,6.6e+15*,5.0e+31*
CME0003,,,,,,2021-08-29 20:24:05,LASCO,2021-08-29 20:24:05,2021-08-29 20:15:45,259,87,1060,-1.1,1.4e+15,8.0e+30
CME0004,,,SEP0013,,,2021-09-17 04:28:22,LASCO,2021-09-17 04:28:22,2021-09-17 04:20:02,174,264,1349,-106.7,3.9e+15*,3.5e+31*
CME0005,,,,,,2021-09-26 03:12:09,LASCO,2021-09-26 03:12:09,2021-09-26 03:03:49,253,36,1046,21.8,3.4e+14,1.9e+30
CME0006,FLARE0002,,SEP0016,X1.0,,2021-10-28 15:48:05,LASCO,2021-10-28 15:48:05,2021-10-28 15:39:45,Halo,360,1519,-61.1,2.9e+16*,3.3e+32*
CME0007,,,,,,2021-10-29 19:00:05,LASCO,2021-10-29 19:00:05,2021-10-29 18:51:45,245,54,1005,21.2,1.6e+15,8.3e+30
CME0008,,,,,,2021-11-02 02:48:05,LASCO,2021-11-02 02:48:05,2021-11-02 02:39:45,Halo,360,1473,-31.1,6.1e+15*,6.6e+31*
CME0009,,,SEP0018,,,2021-11-09 16:48:06,LASCO,2021-11-09 16:48:06,2021-11-09 16:39:46,279,176,1350,-25.7,6.9e+15*,6.3e+31*
CME0010,,,,,,2022-01-01 17:48:05,LASCO,2022-01-01 17:48:05,2022-01-01 17:39:45,327,77,1013,21.6*,2.7e+15,1.4e+31
CME0011,,,,,,2022-01-09 23:12:06,LASCO,2022-01-09 23:12:06,2022-01-09 23:03:46,Halo,360,1283,-1.2,3.1e+15*,2.6e+31*
CME0012,,,,,,2022-01-10 23:33:47,LASCO,2022-01-10 23:33:47,2022-01-10 23:25:27,166,273,1236,64.9,3.4e+15*,2.6e+31*
CME0013,,,,,,2022-01-12 04:36:05,LASCO,2022-01-12 04:36:05,2022-01-12 04:27:45,Halo,360,1586,-40.8,6.9e+15*,8.7e+31*
CME0014,,,,,,2022-01-13 21:30:05,LASCO,2022-01-13 21:30:05,2022-01-13 21:21:45,107,66,1339,158.1*,2.8e+13,2.5e+29
CME0015,,,,C4.3,,2022-01-14 13:36:28,LASCO,2022-01-14 13:36:28,2022-01-14 13:28:08,Halo,360,1341,-42.1,9.7e+15*,8.7e+31*
CME0016,,,,M1.5,,2022-01-18 17:48:05,LASCO,2022-01-18 17:48:05,2022-01-18 17:39:45,294,153,1014,-57.8,3.6e+15*,1.8e+31*
CME0017,FLARE0004,,SEP0021,M5.5,,2022-01-20 06:12:06,LASCO,2022-01-20 06:12:06,2022-01-20 06:03:46,270,211,1431,-55.4,6.8e+15*,7.0e+31*
CME0018,,,SEP0022,,,2022-02-15 22:12:05,LASCO,2022-02-15 22:12:05,2022-02-15 22:03:45,Halo,360,1905,-62.3,1.6e+16*,3.0e+32*
CME0019,,,SEP0029,M3.9,,2022-04-02 13:36:05,LASCO,2022-04-02 13:36:05,2022-04-02 13:27:45,Halo,360,1433,-20.7,1.7e+16*,1.7e+32*
CME0020,,,,,,2022-04-13 13:25:46,LASCO,2022-04-13 13:25:46,2022-04-13 13:17:26,Halo,360,1032,-7.0,9.6e+15*,5.1e+31*
CME0021,,,SEP0032,,,2022-04-20 04:12:05,LASCO,2022-04-20 04:12:05,2022-04-20 04:03:45,251,139,1001,-26.8,3.4e+15*,1.7e+31*
CME0022,,,,M1.2,,2022-04-29 07:36:05,LASCO,2022-04-29 07:36:05,2022-04-29 07:27:45,272,245,1292,-25.2,2.7e+15*,2.2e+31*
CME0023,,,,,,2022-05-05 19:24:06,LASCO,2022-05-05 19:24:06,2022-05-05 19:15:46,85,175,1167,16.6,1.6e+15*,1.1e+31*
CME0024,,,SEP0035,,,2022-05-11 18:36:05,LASCO,2022-05-11 18:36:05,2022-05-11 18:27:45,237,194,1100,1.4,9.6e+15*,5.8e+31*
CME0025,,,,M1.3,,2022-05-25 18:36:05,LASCO,2022-05-25 18:36:05,2022-05-25 18:27:45,Halo,360,1134,-0.6,5.8e+15*,3.7e+31*
CME0026,,,,M3.4,,2022-06-13 03:12:11,LASCO,2022-06-13 03:12:11,2022-06-13 03:03:51,Halo,360,1150,17.5,2.3e+16*,1.5e+32*
CME0027,,,,,,2022-06-28 04:12:05,LASCO,2022-06-28 04:12:05,2022-06-28 04:03:45,249,17,1260,-33.7*,,
CME0028,,,,,,2022-06-28 09:12:09,LASCO,2022-06-28 09:12:09,2022-06-28 09:03:49,244,15,1127,-194.3*,,
CME0029,,,,,,2022-06-28 18:36:05,LASCO,2022-06-28 18:36:05,2022-06-28 18:27:45,259,18,1562,34.3*,,
CME0030,,,,,,2022-06-29 22:36:05,LASCO,2022-06-29 22:36:05,2022-06-29 22:27:45,279,25,1070,-2.4,1.2e+15,7.1e+30
CME0031,,,,,,2022-07-08 01:25:52,LASCO,2022-07-08 01:25:52,2022-07-08 01:17:32,213,57,1202,-24.4,3.3e+15,2.4e+31
CME0032,,,,,,2022-07-08 20:36:05,LASCO,2022-07-08 20:36:05,2022-07-08 20:27:45,Halo,360,1223,-23.3,1.2e+16*,8.8e+31*
CME0033,,,SEP0038,,,2022-07-09 13:48:05,LASCO,2022-07-09 13:48:05,2022-07-09 13:39:45,261,148,1034,-21.5,3.6e+15*,1.9e+31*
CME0034,,,,,,2022-07-10 17:48:05,LASCO,2022-07-10 17:48:05,2022-07-10 17:39:45,198,43,1241,-24.2*,1.9e+15,1.5e+31
CME0035,,,,,,2022-07-13 13:25:48,LASCO,2022-07-13 13:25:48,2022-07-13 13:17:28,269,38,1002,-29.3*,1.3e+15,6.5e+30
CME0036,,,,C1.6,,2022-07-23 19:00:05,LASCO,2022-07-23 19:00:05,2022-07-23 18:51:45,Halo,360,1026,-2.7,1.4e+16*,7.2e+31*
CME0037,,,,,,2022-07-31 23:12:10,LASCO,2022-07-31 23:12:10,2022-07-31 23:03:50,82,192,1122,-30.8,8.6e+15*,5.4e+31*
CME0038,,,,,,2022-08-06 01:36:19,LASCO,2022-08-06 01:36:19,2022-08-06 01:27:59,125,175,1133,13.1,2.6e+15*,1.7e+31*
CME0039,,,,C2.8,,2022-08-17 05:12:05,LASCO,2022-08-17 05:12:05,2022-08-17 05:03:45,245,64,1015,-43.4*,5.8e+14,3.0e+30
CME0040,,,,M1.3,,2022-08-18 11:00:05,LASCO,2022-08-18 11:00:05,2022-08-18 10:51:45,Halo,360,1327,-28.9,3.7e+15*,3.3e+31*
CME0041,,,SEP0042,M4.8,,2022-08-27 02:24:06,LASCO,2022-08-27 02:24:06,2022-08-27 02:15:46,Halo,360,1284,-12.1,8.9e+15*,7.3e+31*
CME0042,FLARE0043,,,M6.7,M7,2022-08-28 16:12:05,LASCO,2022-08-28 16:12:05,2022-08-28 16:03:45,Halo,360,1232,-21.2,1.2e+16*,9.1e+31*
CME0043,,,,,,2022-08-29 16:12:06,LASCO,2022-08-29 16:12:06,2022-08-29 16:03:46,222,21,1078,-3.3*,1.6e+14,9.4e+29
CME0044,,,,,,2022-08-29 17:00:05,LASCO,2022-08-29 17:00:05,2022-08-29 16:51:45,266,193,1112,-3.6,4.1e+15*,2.5e+31*
CME0045,,,,,,2022-08-29 19:24:05,LASCO,2022-08-29 19:24:05,2022-08-29 19:15:45,221,20,1088,-70.4*,1.5e+13,8.8e+28
CME0046,,,,,,2022-08-29 21:12:09,LASCO,2022-08-29 21:12:09,2022-08-29 21:03:49,216,27,1085,-167.9*,1.6e+14,9.3e+29
CME0047,FLARE0053,,,,X1,2022-08-30 18:12:05,LASCO,2022-08-30 18:12:05,2022-08-30 18:03:45,Halo,360,1247,12.2,1.6e+16*,1.2e+32*
CME0048,FLARE0056,,SEP0044,,M9,2022-09-05 16:36:10,LASCO,2022-09-05 16:36:10,2022-09-05 16:27:50,Halo,360,2776,,2.9e+15*,1.1e+32*
CME0049,,,,,,2022-09-22 21:12:11,LASCO,2022-09-22 21:12:11,2022-09-22 21:03:51,81,26,1236,19.9,1.5e+15,1.2e+31
CME0050,,,SEP0045,M1.7,,2022-09-23 18:12:05,LASCO,2022-09-23 18:12:05,2022-09-23 18:03:45,82,189,1776,-21.9,1.1e+16*,1.7e+32*
CME0051,,,SEP0046,C2.9,,2022-09-24 17:24:05,LASCO,2022-09-24 17:24:05,2022-09-24 17:15:45,86,123,1063,9.8,3.3e+15*,1.8e+31*
CME0052,,,,,,2022-10-01 20:24:05,LASCO,2022-10-01 20:24:05,2022-10-01 20:15:45,279,69,1122,78.7*,5.6e+14,3.5e+30
CME0053,FLARE0069,,,M8.7,,2022-10-02 02:36:05,LASCO,2022-10-02 02:36:05,2022-10-02 02:27:45,287,153,1222,20.5*,3.4e+15*,2.6e+31*
CME0054,FLARE0070,,,X1.0,,2022-10-02 20:36:05,LASCO,2022-10-02 20:36:05,2022-10-02 20:27:45,Halo,360,1086,-50.3*,6.8e+15*,4.0e+31*
CME0055,,,,C5.1,,2022-10-03 09:48:06,LASCO,2022-10-03 09:48:06,2022-10-03 09:39:46,299,81,1059,111.0*,2.2e+15,1.3e+31
CME0056,,,,C5.1,,2022-10-03 10:12:05,LASCO,2022-10-03 10:12:05,2022-10-03 10:03:45,308,44,1288,20.7*,1.2e+15,1.0e+31
CME0057,,,,C2.5,,2022-10-04 13:25:28,LASCO,2022-10-04 13:25:28,2022-10-04 13:17:08,314,67,1089,25.7,2.1e+15,1.2e+31
CME0058,,,,,,2022-10-10 16:24:05,LASCO,2022-10-10 16:24:05,2022-10-10 16:15:45,281,9,1213,-118.5*,,
CME0059,,,,,,2022-10-10 22:24:05,LASCO,2022-10-10 22:24:05,2022-10-10 22:15:45,279,21,1067,-4.0*,1.5e+14,8.5e+29
CME0060,,,,,,2022-10-11 08:36:05,LASCO,2022-10-11 08:36:05,2022-10-11 08:27:45,283,10,1074,-107.3*,,
CME0061,,,,,,2022-11-19 07:12:05,LASCO,2022-11-19 07:12:05,2022-11-19 07:03:45,59,36,1070,-32.8,5.4e+14,3.1e+30
CME0062,,,,,,2022-11-30 17:24:05,LASCO,2022-11-30 17:24:05,2022-11-30 17:15:45,300,5,1162,-57.6*,,
CME0063,,,,,,2022-12-08 06:48:05,LASCO,2022-12-08 06:48:05,2022-12-08 06:39:45,316,26,1461,-83.5,1.4e+15,1.5e+31
CME0064,,,,,,2022-12-10 02:36:05,LASCO,2022-12-10 02:36:05,2022-12-10 02:27:45,Halo,360,1106,-30.9*,2.8e+15*,1.7e+31*
CME0065,,,,,,2022-12-11 08:12:09,LASCO,2022-12-11 08:12:09,2022-12-11 08:03:49,297,100,1161,2.1*,7.3e+14,4.9e+30
CME0066,,,,,,2022-12-14 23:12:11,LASCO,2022-12-14 23:12:11,2022-12-14 23:03:51,68,122,1116,-27.1,8.7e+14*,5.5e+30*
CME0067,,,,,,2022-12-15 16:12:05,LASCO,2022-12-15 16:12:05,2022-12-15 16:03:45,84,141,1072,-44.5,2.7e+14*,1.5e+30*
CME0068,,,,,,2022-12-16 04:17:41,LASCO,2022-12-16 04:17:41,2022-12-16 04:09:21,64,107,1053,1.0,4.9e+15,2.7e+31
CME0069,,,,,,2022-12-16 05:12:05,LASCO,2022-12-16 05:12:05,2022-12-16 05:03:45,106,138,1220,-18.4,5.0e+15*,3.7e+31*
CME0070,,,,,,2022-12-17 05:48:05,LASCO,2022-12-17 05:48:05,2022-12-17 05:39:45,130,66,1019,21.5*,2.3e+14,1.2e+30
CME0071,,,,,,2022-12-17 20:00:05,LASCO,2022-12-17 20:00:05,2022-12-17 19:51:45,130,62,1215,-92.3,1.4e+15,1.0e+31
CME0072,,,,,,2022-12-20 08:48:05,LASCO,2022-12-20 08:48:05,2022-12-20 08:39:45,314,122,1112,82.2*,1.1e+15*,6.6e+30*
CME0073,FLARE0078,,,,X6,2023-01-03 06:36:05,LASCO,2023-01-03 06:36:05,2023-01-03 06:27:45,Halo,360,1129,-28.8,1.8e+16*,1.2e+32*
CME0074,,,,,,2023-01-06 01:25:51,LASCO,2023-01-06 01:25:51,2023-01-06 01:17:31,306,12,1119,69.4*,,
CME0075,,,,,,2023-01-10 15:48:05,LASCO,2023-01-10 15:48:05,2023-01-10 15:39:45,82,34,1151,-0.8,1.3e+15,8.4e+30
CME0076,,,,M2.4,,2023-01-11 01:25:53,LASCO,2023-01-11 01:25:53,2023-01-11 01:17:33,67,89,1083,-6.7,2.2e+15,1.3e+31
CME0077,,,,,,2023-01-11 08:36:05,LASCO,2023-01-11 08:36:05,2023-01-11 08:27:45,38,144,1047,10.2,7.0e+15*,3.9e+31*
CME0078,,,,,,2023-01-12 22:00:05,LASCO,2023-01-12 22:00:05,2023-01-12 21:51:45,250,198,1075,29.4,1.3e+16*,7.3e+31*
CME0079,,,,,,2023-01-19 19:48:05,LASCO,2023-01-19 19:48:05,2023-01-19 19:39:45,307,81,1073,20.2,3.7e+15,2.1e+31
CME0080,,,,,,2023-01-26 20:12:05,LASCO,2023-01-26 20:12:05,2023-01-26 20:03:45,123,31,1164,-50.5*,9.9e+14,6.7e+30
CME0081,,,,,,2023-02-01 07:54:09,LASCO,2023-02-01 07:54:09,2023-02-01 07:45:49,Halo,360,1042,-44.8*,1.4e+16*,7.4e+31*
CME0082,,,,,,2023-02-02 09:24:05,LASCO,2023-02-02 09:24:05,2023-02-02 09:15:45,298,62,1145,72.9*,9.0e+14,5.9e+30
CME0083,,,,,,2023-02-03 00:48:05,LASCO,2023-02-03 00:48:05,2023-02-03 00:39:45,93,215,1147,-19.0,6.0e+15*,3.9e+31*
CME0084,,,,,,2023-02-04 13:48:05,LASCO,2023-02-04 13:48:05,2023-02-04 13:39:45,49,12,1108,-64.6*,,
CME0085,,,,M1.0,,2023-02-11 11:12:05,LASCO,2023-02-11 11:12:05,2023-02-11 11:03:45,Halo,360,1498,-22.0,1.1e+16*,1.3e+32*
CME0086,,,,C9.0,,2023-02-16 10:48:05,LASCO,2023-02-16 10:48:05,2023-02-16 10:39:45,286,149,1549,-33.5,6.5e+15*,7.8e+31*
CME0087,FLARE0092,"FLARE0092,FLARE0093",SEP0054,X2.2,,2023-02-17 20:12:06,LASCO,2023-02-17 20:12:06,2023-02-17 20:03:46,Halo,360,1315,-10.3,3.2e+16*,2.7e+32*
CME0088,,,,M3.7,,2023-02-24 20:36:05,LASCO,2023-02-24 20:36:05,2023-02-24 20:27:45,Halo,360,1336,-15.1,4.9e+15*,4.4e+31*
CME0089,FLARE0097,,SEP0056,M6.3,,2023-02-25 19:24:05,LASCO,2023-02-25 19:24:05,2023-02-25 19:15:45,Halo,360,1170,9.4,2.2e+16*,1.5e+32*
CME0090,,,,M1.0,,2023-03-04 07:24:05,LASCO,2023-03-04 07:24:05,2023-03-04 07:15:45,267,84,1178,-21.6*,1.1e+15,7.4e+30
CME0091,,,,,,2023-03-09 12:48:07,LASCO,2023-03-09 12:48:07,2023-03-09 12:39:47,Halo,360,1030,-4.8,1.8e+16*,9.5e+31*
CME0092,,,SEP0058,,,2023-03-13 03:36:05,LASCO,2023-03-13 03:36:05,2023-03-13 03:27:45,Halo,360,1699,-67.5,1.8e+16*,2.6e+32*
CME0093,,,,,,2023-03-13 10:36:05,LASCO,2023-03-13 10:36:05,2023-03-13 10:27:45,326,123,1015,5.2,4.3e+15*,2.2e+31*
CME0094,,,,C6.4,,2023-03-17 08:03:05,LASCO,2023-03-17 08:03:05,2023-03-17 07:54:45,116,23,1020,181.5*,2.9e+14,1.5e+30
CME0095,,,,,,2023-03-19 15:10:05,LASCO,2023-03-19 15:10:05,2023-03-19 15:01:45,114,21,1132,89.7*,5.1e+13,3.3e+29
CME0096,,,,,,2023-03-24 17:48:05,LASCO,2023-03-24 17:48:05,2023-03-24 17:39:45,108,17,1025,,,
CME0097,,,,,,2023-03-25 02:24:05,LASCO,2023-03-25 02:24:05,2023-03-25 02:15:45,115,47,1335,-50.9*,1.2e+14,1.0e+30
CME0098,,,,C4.6,,2023-03-27 07:48:05,LASCO,2023-03-27 07:48:05,2023-03-27 07:39:45,234,65,1110,-26.0*,8.3e+14,5.1e+30
CME0099,,,,,,2023-03-27 14:24:05,LASCO,2023-03-27 14:24:05,2023-03-27 14:15:45,227,18,1216,-84.0*,,
CME0100,,,,,,2023-03-29 05:36:05,LASCO,2023-03-29 05:36:05,2023-03-29 05:27:45,223,11,1538,192.5*,,
CME0101,,,,,,2023-03-29 14:00:06,LASCO,2023-03-29 14:00:06,2023-03-29 13:51:46,210,15,1008,78.9*,,
CME0102,,,,,,2023-04-01 03:12:10,LASCO,2023-04-01 03:12:10,2023-04-01 03:03:50,250,169,1006,20.7,3.2e+15*,1.6e+31*
CME0103,,,,,,2023-04-01 04:36:05,LASCO,2023-04-01 04:36:05,2023-04-01 04:27:45,155,70,1025,0.3,1.9e+15,9.9e+30
CME0104,,,,,,2023-04-02 18:12:05,LASCO,2023-04-02 18:12:05,2023-04-02 18:03:45,211,16,1083,91.0*,,
CME0105,,,,,,2023-04-15 17:12:05,LASCO,2023-04-15 17:12:05,2023-04-15 17:03:45,179,40,1028,-35.0*,6.3e+14,3.3e+30
CME0106,,,SEP0061,M1.7,,2023-04-21 18:12:06,LASCO,2023-04-21 18:12:06,2023-04-21 18:03:46,Halo,360,1284,-28.1,1.6e+16*,1.3e+32*
CME0107,,,,,,2023-05-02 05:00:05,LASCO,2023-05-02 05:00:05,2023-05-02 04:51:45,Halo,360,1332,-31.7*,7.0e+14*,6.2e+30*
CME0108,,,SEP0063,,,2023-05-07 23:12:11,LASCO,2023-05-07 23:12:11,2023-05-07 23:03:51,Halo,360,1075,-12.2,7.4e+15*,4.3e+31*
CME0109,,,SEP0064,M4.2,,2023-05-09 19:00:05,LASCO,2023-05-09 19:00:05,2023-05-09 18:51:45,Halo,360,1209,-45.9,1.3e+16*,9.3e+31*
CME0110,,,,,,2023-05-12 10:48:05,LASCO,2023-05-12 10:48:05,2023-05-12 10:39:45,44,36,1117,193.7*,2.2e+14,1.3e+30
CME0111,FLARE0114,"FLARE0114,FLARE0115",SEP0065,M9.6,,2023-05-16 17:36:05,LASCO,2023-05-16 17:36:05,2023-05-16 17:27:45,Halo,360,1099,-26.9,1.5e+16*,9.0e+31*
